,mass,age,temperature,luminosity,radius,gravity,mko_y,mko_j,mko_h,mko_k,mko_lp,mko_mp,w1,w2,w3,w4,irac_ch1,irac_ch2
8,0.03,0.00661474064,2766.49324082,-2.21938935,0.33874156,3.85579901,8.89319288,8.2264802,7.72929517,7.34389142,6.84050698,6.84716578,7.09851257,6.82430524,6.58120351,6.44225127,6.96131296,6.8169832
9,0.03,0.0083767764,2750.50467008,-2.33240022,0.3008848,3.95873502,9.17592523,8.50188704,8.00447467,7.61763615,7.10972066,7.12692734,7.37415036,7.10107887,6.85326862,6.71784231,7.23303657,7.09291087
10,0.03,0.0106081836,2713.05807696,-2.50124596,0.25461371,4.10377467,9.59833714,8.90693782,8.4113719,8.02003354,7.50098121,7.53958951,7.7788534,7.50766267,7.24829153,7.11959678,7.62963467,7.49777083
11,0.03,0.0134339933,2664.61853179,-2.64545481,0.22357714,4.21668346,9.96084922,9.24536314,8.75350501,8.35598663,7.82153166,7.88891461,8.11620103,7.84876811,7.57260534,7.45217587,7.95681374,7.83662137
12,0.03,0.0170125428,2616.14691132,-2.77056854,0.20082107,4.30991898,10.27719404,9.53534004,9.04714551,8.64414974,8.09374017,8.19302041,8.40594892,8.1442943,7.84974559,7.73806255,8.23587241,8.12962866
13,0.03,0.0215443469,2557.44645136,-2.89130451,0.18287906,4.39121008,10.5896233,9.81139582,9.3258657,8.91707787,8.34561376,8.49242199,8.67969238,8.42940526,8.10854024,8.0082783,8.49602123,8.41121379
14,0.03,0.0272833338,2491.43362373,-3.00869465,0.16833909,4.46316755,10.89982479,10.07715076,9.59331146,9.17887258,8.58184233,8.79169281,8.94124245,8.70887909,8.35336961,8.26786445,8.7416022,8.68623523
15,0.03,0.0345510729,2417.26809737,-3.12558918,0.15630791,4.52757604,11.21998846,10.34132642,9.85500976,9.43744914,8.80781292,9.10149642,9.19624107,8.99308253,8.59097586,8.52497508,8.97791604,8.96434188
16,0.03,0.0437547938,2331.56916212,-3.24726076,0.14604923,4.58653928,11.57087915,10.61931285,10.12484574,9.70810414,9.03382636,9.44699943,9.45540208,9.29726026,8.82918522,8.78428249,9.21538566,9.26034441
17,0.03,0.0554102033,2231.50028817,-3.37634956,0.13742442,4.63940983,11.96433244,10.91509525,10.40423259,9.99715149,9.26015055,9.79782958,9.71510838,9.60349305,9.05475947,9.02323458,9.45410785,9.55825216
18,0.03,0.0701703829,2123.08623711,-3.5100123,0.13016364,4.68655827,12.39380647,11.22815773,10.6918626,10.3058842,9.48973519,10.13679189,9.98331538,9.90106529,9.26597952,9.23789509,9.70206298,9.84877126
19,0.03,0.0888623816,2012.12456454,-3.64470687,0.12409876,4.72800253,12.83143573,11.54749518,10.98116918,10.63484928,9.73262725,10.43908023,10.28894239,10.1758395,9.46285574,9.42392822,9.98462196,10.11837992
20,0.03,0.112533558,1894.61236209,-3.78539381,0.11903954,4.76415424,13.26551971,11.87534695,11.28556496,11.00450223,10.01788631,10.71329601,10.67647845,10.43869528,9.65526128,9.59003772,10.33972546,10.3787375
21,0.03,0.142510267,1786.68980336,-3.91969805,0.11467991,4.79656199,13.63706074,12.18938514,11.58700892,11.38876012,10.33573774,10.92946,11.12074122,10.66325575,9.83008503,9.73173887,10.74596157,10.60547314
22,0.03,0.180472177,1663.32810925,-4.07229694,0.11100056,4.82488545,13.99064933,12.52640257,11.9495227,11.88174322,10.74618049,11.14185536,11.6941794,10.90007112,10.01432669,9.87579246,11.27351724,10.84999974
23,0.03,0.228546386,1556.16029199,-4.21241417,0.1079235,4.84930457,14.24527257,12.81612731,12.32427661,12.37742834,11.15051106,11.31710443,12.21185186,11.11171717,10.18201683,10.01284654,11.7725027,11.07303204
24,0.03,0.289426612,1459.67604147,-4.34551008,0.10523458,4.87121965,14.46850703,13.07652467,12.7222322,12.84887714,11.54544564,11.46379975,12.66572269,11.30209012,10.33870151,10.15067111,12.24148544,11.27694601
